"","species","avgbrood","avgsire","pmult","mean.q","sd.q","q2.5","q97.5","mean.nsires","sd.nsires","nsires2.5","nsires97.5","mean.nmates","sd.nmates","nmates2.5","nmates97.5","mean.estM","sd.estM","estM2.5","estM97.5","mean.est.pmult","sd.est.pmult","est.pmult2.5","est.pmult97.5","mean.avgR","sd.avgR","avgR2.5","avgR97.5","mean.avgM","sd.avgM","avgM2.5","avgM97.5","pred_pmult","pred_pmult_lcl","pred_pmult_ucl","resid_pmult","resid_pmult_lcl","resid_pmult_ucl"
"1","Dusky antbird, Cercomacra tyrannina",1.66666666666667,1,0,0.629771659974307,0.035288971707673,0.55959890331357,0.698039118057484,1.28888888888889,0.499876805673949,1,2,3.24761666666667,1.5426912874895,2,7,2.05309779026013,0.805988477139927,1.4424549442858,3.64156184621062,0.571443968752039,0.0178263715450574,0.551478640958786,0.61755940514503,1.29789560275875,0.0241222384218444,1.25177463192453,1.34638569605356,1.59292069933976,0.0902972763090131,1.43258447003694,1.78699420981535,0.585245892875784,0.559593788875694,0.621450597571893,0.585245892875784,0.559593788875694,0.621450597571893
"2","New Zealand robin, Petroica australis",1.67567567567568,1,0,0.475033426013236,0.00693762151634532,0.461465404449483,0.488608776266668,1.38021978021978,0.617015125359466,1,3,4.07146879120879,2.30386208907948,2,10,2.90614115201618,1.29999663399406,2.05142795918911,6.34824875737382,0.746965443104272,0.0153832575064536,0.714055282272408,0.765198797306357,1.56417011165982,0.358984200998339,1.19921644602194,1.95352434712451,2.12506001465915,0.0366560646426274,2.0547790490766,2.1965443451041,0.586664519787161,0.561321562791474,0.622481578195064,0.586664519787161,0.561321562791474,0.622481578195064
"3","New Zealand robin, Petroica australis",3.66666666666667,1.01851851851852,0.0185185185185185,0.475033426013236,0.00693762151634532,0.461465404449483,0.488608776266668,1.38021978021978,0.617015125359466,1,3,4.07146879120879,2.30386208907948,2,10,2.90614115201618,1.29999663399406,2.05142795918911,6.34824875737382,0.746965443104272,0.0153832575064536,0.714055282272408,0.765198797306357,1.56417011165982,0.358984200998339,1.19921644602194,1.95352434712451,2.12506001465915,0.0366560646426274,2.0547790490766,2.1965443451041,0.743117439725614,0.73536876889804,0.753736311019055,0.724598921207095,0.716850250379522,0.735217792500537
"4","Corn bunting, Miliaria calandra",2.93333333333333,1,0,0.482733170884725,0.0233774505606268,0.43658050607434,0.528646826751134,1.44666666666667,0.678593542469783,1,3,4.20326,2.39821375333521,2,10,3.00390385062479,1.41831985745252,1.90842124873541,6.42363959572789,0.707997323298077,0.0031838179390186,0.705571596474403,0.7169977867151,1.65608111630221,0.0430856684527271,1.57292713663642,1.74256671753269,2.07643123315078,0.101304714359648,1.89162206113143,2.29052829109628,0.710274547607979,0.702023727695897,0.722972972940091,0.710274547607979,0.702023727695897,0.722972972940091
"5","Nazca booby, Sula granti",1.52380952380952,1,0,0.67251923031226,0.023127565801778,0.626718760148109,0.717862855412145,1.27619047619048,0.525452095550852,1,3,3.09678095238095,1.46926064950158,2,7,1.89988214933638,0.785464919779801,1.39789864717793,4.39853273221793,0.526507798178756,0.0112281807895141,0.510433282951933,0.553322308193469,1.25379472030464,0.013009913817508,1.22872896198665,1.28001887797621,1.48871362448,0.0514606518988685,1.39302374051718,1.59561204242485,0.56172174125972,0.530776525429721,0.604527009276782,0.56172174125972,0.530776525429721,0.604527009276782
"6","Barnacle goose, Branta leucopsis",2.72,1,0,0.505746773701958,0.00816592427259609,0.489728213201769,0.521722895096798,1.34791666666667,0.616156200865099,1,3,3.83409215277778,2.14517079809957,2,9,2.66589615858811,1.21954802122164,1.92128154283394,5.96647715087717,0.677720017441396,0.0153449029958087,0.655720247192624,0.693910432019854,1.50788697088325,0.105647918705414,1.38829727347428,1.63523244629665,1.97779004037449,0.0319645734289368,1.91672631084363,2.04194892820294,0.698188719613085,0.689298078993441,0.711609055920428,0.698188719613085,0.689298078993441,0.711609055920428
"7","Barnacle goose, Branta leucopsis",2.17460317460317,1,0,0.505746773701958,0.00816592427259609,0.489728213201769,0.521722895096798,1.34791666666667,0.616156200865099,1,3,3.83409215277778,2.14517079809957,2,9,2.66589615858811,1.21954802122164,1.92128154283394,5.96647715087717,0.677720017441396,0.0153449029958087,0.655720247192624,0.693910432019854,1.50788697088325,0.105647918705414,1.38829727347428,1.63523244629665,1.97779004037449,0.0319645734289368,1.91672631084363,2.04194892820294,0.653054560257132,0.640039311138393,0.672925946307651,0.653054560257132,0.640039311138393,0.672925946307651
"8","Blue duck, Hymenolaimus malacorhynchos",1.4,1,0,0.63509237292586,0.0357929965639632,0.564536138265344,0.704390803971301,1.14,0.346987204951593,1,2,2.89641,1.27227305661117,2,6,1.80079276561097,0.558562253539028,1.42337975525151,3.32437917244872,0.541624821826913,0.0385732029195498,0.481815369729889,0.629955572315615,1.1761987696924,0.0142343342383531,1.14921964743442,1.2049014477314,1.57964277685173,0.0902343212071974,1.41966646130979,1.7713657856728,0.539785660661936,0.503675303465883,0.588984151033453,0.539785660661936,0.503675303465883,0.588984151033453
"9","Eleonoras falcon, Falco eleonorae",3.52941176470588,1,0,0.379811798242916,0.0195412643641106,0.341820928847536,0.418643474956251,1.38823529411765,0.634204044033852,1,3,4.76620941176471,2.98789442495611,2,13,3.66480212538932,1.68719399935856,2.40830538773823,8.13077895429749,0.737884654459899,0.00571412721784941,0.732839598705722,0.753310351916462,1.6458496046219,0.0430766275685469,1.56371538001489,1.73309609967101,2.63989983608553,0.136755129739708,2.38866735143003,2.92550840443549,0.737595809680255,0.729780237198382,0.748538648944896,0.737595809680255,0.729780237198382,0.748538648944896
"10","Lesser kestrel, Falco naumanni",3.34615384615385,1,0,0.428041298406732,0.00655032539556207,0.415012726553669,0.440656672235001,1.41111111111111,0.646171328937425,1,3,4.44279187134503,2.63940262822879,2,11,3.29744329929368,1.51097616878365,2.2748245211664,7.07157576664552,0.718969681039158,0.00528141952580436,0.711324950925166,0.726394173372997,1.63181243524874,0.0486498060459878,1.56258967886726,1.71378191963816,2.43413629376994,0.142673572918886,2.27482645902397,2.68890736826988,0.72999063109324,0.722187950081529,0.741507446854764,0.72999063109324,0.722187950081529,0.741507446854764
"11","Lesser kestrel, Falco naumanni",3.1304347826087,1,0,0.428041298406732,0.00655032539556207,0.415012726553669,0.440656672235001,1.41111111111111,0.646171328937425,1,3,4.44279187134503,2.63940262822879,2,11,3.29744329929368,1.51097616878365,2.2748245211664,7.07157576664552,0.718969681039158,0.00528141952580436,0.711324950925166,0.726394173372997,1.63181243524874,0.0486498060459878,1.56258967886726,1.71378191963816,2.43413629376994,0.142673572918886,2.27482645902397,2.68890736826988,0.719924503597709,0.711962448554225,0.732289608446642,0.719924503597709,0.711962448554225,0.732289608446642
"12","Lesser kestrel, Falco naumanni",3,1.125,0.125,0.428041298406732,0.00655032539556207,0.415012726553669,0.440656672235001,1.41111111111111,0.646171328937425,1,3,4.44279187134503,2.63940262822879,2,11,3.29744329929368,1.51097616878365,2.2748245211664,7.07157576664552,0.718969681039158,0.00528141952580436,0.711324950925166,0.726394173372997,1.63181243524874,0.0486498060459878,1.56258967886726,1.71378191963816,2.43413629376994,0.142673572918886,2.27482645902397,2.68890736826988,0.713481512851079,0.705317573302741,0.726146844339676,0.588481512851079,0.580317573302741,0.601146844339676
"13","Merlin, Falco columbarius",3.33333333333333,1,0,0.439729460128418,0.0205387151900751,0.40007025908394,0.479901982009767,1.41111111111111,0.630598558440189,1,3,4.37068722222222,2.5545886052606,2,11,3.21608785913473,1.44671172151944,2.10054311472505,6.97841087812609,0.727394938664808,0.00283778644630259,0.725151828579644,0.735269759924071,1.7149125338836,0.044567461445616,1.63049812183165,1.8037501026277,2.27911738048918,0.107117144758252,2.08375884567745,2.49956095784255,0.729437465355491,0.721634850142968,0.741000255941174,0.729437465355491,0.721634850142968,0.741000255941174
"14","Canary, Serinus canaria",3,1,0,0.466444476641879,0.0230423882645407,0.421715331893284,0.51249912501342,1.40666666666667,0.601073314786401,1,3,4.19568,2.34528768765147,2,10,3.02311642916304,1.30205632697653,1.97058453293741,6.50260290848544,0.711211988574517,0.00271193899386089,0.709277119842896,0.7188926281116,1.65060030571385,0.043279199849188,1.56846521183092,1.73897117718559,2.1491349022486,0.10669474549392,1.95122284352175,2.3712678301548,0.713481512851079,0.705317573302741,0.726146844339676,0.713481512851079,0.705317573302741,0.726146844339676
