"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","species_ID","StudyID","PopulationID","Reference"
"Dusky antbird, Cercomacra tyrannina",9,1.66666666666667,NA,NA,0,1,1,1,67,"153",82,"Fleischer et al. (1997)"
"New Zealand robin, Petroica australis",37,1.67567567567568,NA,NA,0,1,1,1,228,"19",341,"Ardern et al. (1997)"
"Corn bunting, Miliaria calandra",15,2.93333333333333,NA,NA,0,1,1,1,194,"202",263,"Hartley et al. (1993)"
"Nazca booby, Sula granti",21,1.52380952380952,1,2,0,1,1,1,301,"13",440,"Anderson & Boag (2006)"
"Barnacle goose, Branta leucopsis",9,2.72,NA,NA,0,1,1,1,40,"86",50,"Choudhury et al. (1993)"
"Barnacle goose, Branta leucopsis",63,2.17460317460317,NA,NA,0,1,1,1,40,"295",51,"Larsson et al. (1995)"
"Blue duck, Hymenolaimus malacorhynchos",10,1.4,NA,NA,0,1,1,1,156,"502",215,"Triggs et al. (1991)"
"Eleonoras falcon, Falco eleonorae",17,3.52941176470588,NA,NA,0,1,1,1,127,"490",158,"Swatschek et al. (1993)"
"Lesser kestrel, Falco naumanni",26,3.34615384615385,NA,NA,0,1,1,1,128,"376",160,"Negro et al. (1996)"
"Merlin, Falco columbarius",18,3.33333333333333,NA,NA,0,1,1,1,126,"527",157,"Warkentin et al. (1994)"
"Canary, Serinus canaria",15,3,NA,NA,0,1,1,1,281,"522",408,"Voigt et al 2003"
"Palila, Loxioides bailleui",12,1.66666666666667,NA,NA,0,1,1,1,178,"152",240,"Fleischer et al. (1994)"
"Serin, Serinus serinus",21,2.9047619047619,NA,NA,0,1,1,1,282,"371",409,"Mota & Hoi-Leitner 2003"
"Common tern, Sterna hirundo",10,2.9,NA,NA,0,1,1,1,293,"188",429,"Griggio et al 2004"
"South polar skua, Catharacta maccormicki",13,1.07692307692308,1,2,0,1,1,1,62,"357",76,"Millar et al. (1997)"
"Western gull, Larus occidentalis",22,1.5,NA,NA,0,1,1,1,174,"173",236,"Gilbert et al. (1998)"
"Galapagos hawk, Buteo galapagoensis",10,2.2,NA,NA,0,1,1,1,42,"148",53,"Faaborg et al. (1995)"
"Monteiros hornbill, Tockus monteiri",38,3.55263157894737,NA,NA,0,1,1,1,321,"478",468,"Stanback et al 2002"
"Laughing kookaburra, Dacelo novaeguineae",62,2.25806451612903,NA,NA,0,1,1,1,101,"301",121,"Legge & Cockburn (2000)"
"Bushtit, Psaltriparus minimus",10,5.9,NA,NA,0,1,1,1,264,"64",387,"Bruce et al. (1996)"
"Willow warbler, Phylloscopus trochilus",19,6.31578947368421,NA,NA,0,1,1,1,245,"193",363,"Gyllensten et al. (1990)"
"Wood warbler, Phylloscopus sibilatrix",13,4.30769230769231,NA,NA,0,1,1,1,244,"193",360,"Gyllensten et al. (1990)"
"Common loon, Gavia immer",47,1.23404255319149,NA,NA,0,1,1,1,143,"406",188,"Piper et al. (1997)"
"Black vulture, Coragyps atratus",16,2.25,NA,NA,0,1,1,1,90,"108",109,"Decker et al. (1993)"
"Eastern screech-owl, Megascops asio",23,3.47826086956522,NA,NA,0,1,1,1,188,"297",255,"Lawless & Ritchinson (1997)"
"Flammulated owl, Otus flammeolus",17,2.17647058823529,NA,NA,0,1,1,1,207,"20",282,"Arsenault et al 2002"
"Little owl, Athene noctua",16,3.3125,NA,NA,0,1,1,1,36,"374",46,"Mller et al. (2001)"
"Long-eared owl, Asio otus",12,4.91666666666667,NA,NA,0,1,1,1,34,"337",44,"Marks et al 1999"
"Burrowing parakeet, Cyanoliseus patagonus",49,3.38775510204082,NA,NA,0,1,1,1,99,"343",119,"Masello et al 2002"
"Chinstrap penguin, Pygoscelis antarcticus",38,2,NA,NA,0,1,1,1,268,"369",392,"Moreno et al. (2000)"
"Fiordland penguin, Eudyptes pachyrhynchus",24,1.375,1,2,0,1,1,1,123,"348",154,"McLean et al 2000"
"Humboldt penguin, Spheniscus humboldti",21,2.33333333333333,NA,NA,0,1,1,1,289,"463",423,"Schwartz et al. (1999)"
"Black grouse, Tetrao tetrix",11,6,NA,NA,0,1,1,1,310,"6",457,"Alatalo et al. (1996b)"
"Takahe, Porphyrio hochstetteri",9,3,NA,NA,0,1,1,1,257,"306",377,"Lettink et al 2002"
"Tasmanian native hen, Gallinula mortierii",6,4.66666666666667,NA,NA,0,1,1,1,142,"177",187,"Gibbs et al. (1994)"
"Wilson's phalarope, Steganopus tricolor",15,2.86666666666667,NA,NA,0,1,1,1,292,"109",427,"Delehanty et al. (1998)"
"Lesser gray shrike, Lanius minor",36,3.77777777777778,NA,NA,0,1,1,1,171,"507",233,"Valera et al 2003"
"Eurasian jackdaw, Corvus monedula",20,3.7,NA,NA,0,1,1,1,94,"3",114,"Henderson et al. 2000"
"Florida scrub-jay, Aphelocoma coerulescens",60,2.31666666666667,NA,NA,0,1,1,1,29,"417",39,"Quinn et al. (1999)"
"White-winged chough, Corcorax melanorhamphos",28,2.42857142857143,NA,NA,0,1,1,1,91,"213",110,"Heinsohn et al 2000"
"Ringed plover, Charadrius hiaticula",18,2.77777777777778,NA,NA,0,1,1,1,70,"525",88,"Wallander et al 2001"
"Semipalmated plover, Charadrius semipalmatus",24,3.54166666666667,NA,NA,0,1,1,1,76,"563",94,"Zharikov & Nol (2000)"
"Phainopepla, Phainopepla nitens",25,1.92,NA,NA,0,1,1,1,231,"87",345,"Chu et al 2002"
"Capricorn silvereye, Zosterops lateralis",53,2.30188679245283,NA,NA,0,1,1,1,350,"437",507,"Robertson et al. (2001)"
"Acorn woodpecker, Melanerpes formicivorus",19,2.68421052631579,NA,NA,0,1,1,1,189,"114",256,"Dickinson et al. (1995)"
"Great spotted woodpecker, Dendrocopos major",36,4.47222222222222,NA,NA,0,1,1,1,103,"355",124,"Michalek & Winkler 2001"
"Middle spotted woodpecker, Dendrocopos medius",13,4.69230769230769,NA,NA,0,1,1,1,104,"355",125,"Michalek & Winkler 2001"
"Carolina wren, Thryothorus ludovicianus",23,3.65217391304348,NA,NA,0,1,1,1,317,"194",464,"Haggerty et al. (2001)"
"Eurasian kestrel, Falco tinnunculus",75,4.25333333333333,3,6,0.0133333333333333,1.01333333333333,1,2,131,"276",164,"Korpimki et al. (1996)"
"Kentish plover, Charadrius alexandrinus",65,2.61538461538462,NA,NA,0.0153846153846154,1.01538461538462,1,2,68,"48",85,"Blomqvist et al 2002"
"Eurasian wryneck, Jynx torquilla",50,5.84,NA,NA,0.02,1.02,1,2,163,"548",225,"Wink et al 2011"
