"","species","avgbrood","avgsire","pmult","mean.q","sd.q","q2.5","q97.5","mean.nsires","sd.nsires","nsires2.5","nsires97.5","mean.nmates","sd.nmates","nmates2.5","nmates97.5","mean.estM","sd.estM","estM2.5","estM97.5","mean.est.pmult","sd.est.pmult","est.pmult2.5","est.pmult97.5","mean.avgR","sd.avgR","avgR2.5","avgR97.5","mean.avgM","sd.avgM","avgM2.5","avgM97.5","pred_pmult","pred_pmult_lcl","pred_pmult_ucl","resid_pmult","resid_pmult_lcl","resid_pmult_ucl"
"1","Common swift, Apus apus",2.0952380952381,1.0952380952381,0.0952380952380952,0.574241090387481,0.0158083516386018,0.542338176393051,0.604780044392982,1.35238095238095,0.632168714316315,1,3,3.56180238095238,1.9193864123737,2,9,2.35686751982563,1.10406003933792,1.65922918466581,5.30775273186951,0.433153760068095,0.0162928490259506,0.40074017399902,0.465086611769152,1.44476915846397,0.0172132202383017,1.41058595247324,1.47856663382953,1.90873073788696,0.0527721542673179,1.81096930275519,2.01947445883663,0.406461771116084,0.362955662672319,0.451433332933869,0.311223675877989,0.267717567434224,0.356195237695774
"2","Brown thornbill, Acanthiza pusilla",2.65671641791045,1.1044776119403,0.104477611940299,0.488717578066668,0.0114426984452241,0.466349658903431,0.510845726622373,1.42238805970149,0.668551814043357,1,3,4.10309373134329,2.33689536786112,2,10,2.91204927115583,1.37080522907475,1.96605384281283,6.2614039291884,0.486282463221691,0.0131971555162086,0.460575751920273,0.511894121479388,1.56118975482747,0.0177705582137195,1.52682272935553,1.59593130527616,2.26119250855752,0.053073452551763,2.16205706416096,2.36834656398569,0.49135739152078,0.443330370410346,0.54016537934743,0.386879779580481,0.338852758470047,0.435687767407131
"3","Great reed warbler, Acrocephalus arundinaceus",4.04166666666667,1.02083333333333,0.0208333333333333,0.359810127120051,0.00357851646008066,0.352760164328902,0.366937425066518,1.49452380952381,0.720428790889812,1,3,5.26160197619047,3.36581116446421,2,14,4.15405662018957,2.00297039737797,2.73161469718171,8.43870404934807,0.560582677880799,0.0104500151916037,0.543010221625539,0.578233969291682,1.76138141044665,0.0222972477850571,1.72570242840258,1.79805382137711,2.89425945564205,0.063712873309394,2.79143922242063,2.99985441095592,0.581320432691942,0.537448296558209,0.625316353913055,0.560487099358609,0.516614963224876,0.604483020579722
"4","Great reed warbler, Acrocephalus arundinaceus",4.18518518518519,1.06172839506173,0.0617283950617284,0.359810127120051,0.00357851646008066,0.352760164328902,0.366937425066518,1.49452380952381,0.720428790889812,1,3,5.26160197619047,3.36581116446421,2,14,4.15405662018957,2.00297039737797,2.73161469718171,8.43870404934807,0.560582677880799,0.0104500151916037,0.543010221625539,0.578233969291682,1.76138141044665,0.0222972477850571,1.72570242840258,1.79805382137711,2.89425945564205,0.063712873309394,2.79143922242063,2.99985441095592,0.584544159982755,0.540811344079958,0.628382553317869,0.522815764921026,0.479082949018229,0.56665415825614
"5","Sedge warbler, Acrocephalus schoenobaenus",4.56818181818182,1.22727272727273,0.204545454545455,0.355162162411191,0.0104060673215835,0.335241656857019,0.375709479288834,1.66363636363636,0.834236520055152,1,4,5.81819181818182,3.72126827420746,2,15,4.68818698388563,2.35594030154627,2.68507254220087,11.1184242719628,0.608040140898376,0.0155733807719876,0.577917878291597,0.63846097888605,1.87535791347689,0.0334210512533082,1.81202745344856,1.94201459599331,3.45849859466974,0.101490497608234,3.26654714655728,3.66085986681646,0.592197513107191,0.548550490443368,0.635874796440575,0.387652058561736,0.344005035897913,0.43132934189512
"6","Common sandpiper, Actitis hypoleucos",3.53333333333333,1.06666666666667,0.0666666666666667,0.409277823193078,0.00902991075367489,0.392001128648843,0.426882534461872,1.43452380952381,0.672945599238897,1,3,4.64536702380952,2.8260964746382,2,12,3.50671972715318,1.64724951559132,2.35096602728644,7.49650974895349,0.510977505554023,0.0393798863626499,0.455079661846955,0.568496739189133,1.64111387086252,0.0741541506975474,1.54276616420636,1.74749412394831,2.61653997529954,0.058479753626072,2.50569416069729,2.73257602490733,0.563194085173344,0.517386532891484,0.609203719965263,0.496527418506677,0.450719866224818,0.542537053298597
"7","Common sandpiper, Actitis hypoleucos",3.07407407407407,1.07407407407407,0.0740740740740741,0.409277823193078,0.00902991075367489,0.392001128648843,0.426882534461872,1.43452380952381,0.672945599238897,1,3,4.64536702380952,2.8260964746382,2,12,3.50671972715318,1.64724951559132,2.35096602728644,7.49650974895349,0.510977505554023,0.0393798863626499,0.455079661846955,0.568496739189133,1.64111387086252,0.0741541506975474,1.54276616420636,1.74749412394831,2.61653997529954,0.058479753626072,2.50569416069729,2.73257602490733,0.530581129012545,0.481077060231715,0.580491186401167,0.456507054938471,0.407002986157641,0.506417112327093
"8","Florida scrub-jay, Aphelocoma coerulescens",2.31666666666667,1,0,0.546417392410924,0.012888150898129,0.520250720039232,0.570800596447549,1.37166666666667,0.64565002777528,1,3,3.7132795,2.03685399894265,2,9,2.51169276721033,1.18409129319596,1.7574786617658,5.56111268342115,0.467812731819871,0.0140343549600467,0.43955150296354,0.494580150543215,1.5074387008742,0.0166202676335135,1.47412226433287,1.53928061309331,1.83112473915698,0.0433563494974919,1.75192528947496,1.92215015084588,0.447116640862247,0.401028156168124,0.494426774906933,0.447116640862247,0.401028156168124,0.494426774906933
"9","Long-eared owl, Asio otus",4.91666666666667,1,0,0.290759848281061,0.0179879989870244,0.256074636422943,0.326051437715339,1.50833333333333,0.74157333678565,1,3,6.24484833333333,4.34232080882895,2,18,5.20755197817709,2.58569476483903,3.10167106085611,11.297057703849,0.543098943051491,0.0299561854127396,0.484333905473655,0.600872163691436,1.75416055011768,0.0590131834949799,1.64265071600868,1.87207786718957,3.4525206485152,0.215100989949693,3.06700074330291,3.90511147304792,0.599901872422029,0.554876606094886,0.644781487421965,0.599901872422029,0.554876606094886,0.644781487421965
"10","Little owl, Athene noctua",3.3125,1,0,0.428850350158338,0.0209413823119185,0.387604286888888,0.469939652239049,1.475,0.670354593375437,1,3,4.6135125,2.71477384299169,2,12,3.44767795504287,1.57789690589817,2.14678025349444,7.2351837044413,0.538806058739762,0.0269383766963639,0.485530282605694,0.591425933211578,1.68454160833899,0.0443430208089563,1.59899824978606,1.77324401001587,2.33740878307991,0.114823768425405,2.1279328003071,2.57995082580724,0.549288781683773,0.501608912577991,0.597253909590716,0.549288781683773,0.501608912577991,0.597253909590716
