"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","Reference"
"Common swift, Apus apus",42,2.0952380952381,NA,NA,0.0952380952380952,1.0952380952381,1,2,"Martins et al. 2002"
"Brown thornbill, Acanthiza pusilla",67,2.65671641791045,2,4,0.104477611940299,1.1044776119403,1,2,"Green et al. 2002"
"Great reed warbler, Acrocephalus arundinaceus",48,4.04166666666667,NA,NA,0.0208333333333333,1.02083333333333,1,2,"Leisler et al (2000)"
"Great reed warbler, Acrocephalus arundinaceus",162,4.18518518518519,NA,NA,0.0617283950617284,1.06172839506173,1,2,"Hasselquist et al. (1996)"
"Sedge warbler, Acrocephalus schoenobaenus",44,4.56818181818182,4,6,0.204545454545455,1.22727272727273,1,3,"Langefors et al. 1998"
"Common sandpiper, Actitis hypoleucos",15,3.53333333333333,NA,NA,0.0666666666666667,1.06666666666667,1,2,"Blomqvist et al 2002"
"Common sandpiper, Actitis hypoleucos",27,3.07407407407407,NA,NA,0.0740740740740741,1.07407407407407,1,2,"MEE et al 2004"
"Florida scrub-jay, Aphelocoma coerulescens",60,2.31666666666667,NA,NA,0,1,1,1,"Quinn et al. (1999)"
"Long-eared owl, Asio otus",12,4.91666666666667,NA,NA,0,1,1,1,"Marks et al 1999"
"Little owl, Athene noctua",16,3.3125,NA,NA,0,1,1,1,"Mller et al. (2001)"
"Tufted titmouse, Baeolophus bicolor",9,3.77777777777778,NA,NA,0.111111111111111,1.11111111111111,1,2,"Pravosudova et al 2002"
"Barnacle goose, Branta leucopsis",9,2.72,NA,NA,0,1,1,1,"Choudhury et al. (1993)"
"Barnacle goose, Branta leucopsis",63,2.17460317460317,NA,NA,0,1,1,1,"Larsson et al. (1995)"
"Red-billed buffalo weaver, Bubalornis niger",6,2.66666666666667,NA,NA,0.5,1.5,1,2,"Winterbottom et al 2001"
"Galapagos hawk, Buteo galapagoensis",10,2.2,NA,NA,0,1,1,1,"Faaborg et al. (1995)"
"Smiths longspur, Calcarius pictus",31,3.67741935483871,NA,NA,0.774193548387097,1.90322580645161,1,3,"Briskie et al. (1998)"
"Purple sandpiper, Calidris maritima",27,3.03703703703704,3,4,0.037037037037037,1.03703703703704,1,2,"Pierce & Lifjeld (1998)"
"Western sandpiper, Calidris mauri",25,2.44,NA,NA,0.08,1.08,1,2,"Blomqvist et al 2002"
"Stripe-backed wren, Campylorhynchus nuchalis",34,2.02941176470588,NA,NA,0.117647058823529,1.11764705882353,1,2,"Rabenold et al. (1990)"
"Northern cardinal, Cardinalis cardinalis",19,1.94736842105263,NA,NA,0.0526315789473684,1.05263157894737,1,2,"Ritchison et al. (1994)"
"Brown skua, Catharacta lonnbergi",26,1.73076923076923,1,2,0.0769230769230769,1.07692307692308,1,2,"Millar et al. (1994)"
"South polar skua, Catharacta maccormicki",13,1.07692307692308,1,2,0,1,1,1,"Millar et al. (1997)"
"Dusky antbird, Cercomacra tyrannina",9,1.66666666666667,NA,NA,0,1,1,1,"Fleischer et al. (1997)"
"Kentish plover, Charadrius alexandrinus",65,2.61538461538462,NA,NA,0.0153846153846154,1.01538461538462,1,2,"Blomqvist et al 2002"
"Ringed plover, Charadrius hiaticula",18,2.77777777777778,NA,NA,0,1,1,1,"Wallander et al 2001"
"Semipalmated plover, Charadrius semipalmatus",24,3.54166666666667,NA,NA,0,1,1,1,"Zharikov & Nol (2000)"
"Ross's goose, Chen rossii",24,3.45833333333333,NA,NA,0.0833333333333333,1.08333333333333,1,2,"Dunn et al. (1999)"
"Black vulture, Coragyps atratus",16,2.25,NA,NA,0,1,1,1,"Decker et al. (1993)"
"White-winged chough, Corcorax melanorhamphos",28,2.42857142857143,NA,NA,0,1,1,1,"Heinsohn et al 2000"
"Eurasian jackdaw, Corvus monedula",20,3.7,NA,NA,0,1,1,1,"Henderson et al. 2000"
"Eurasian jackdaw, Corvus monedula",15,2.6,NA,NA,0.0666666666666667,1.06666666666667,1,2,"Liebers & Peter 1998"
"Burrowing parakeet, Cyanoliseus patagonus",49,3.38775510204082,NA,NA,0,1,1,1,"Masello et al 2002"
"Laughing kookaburra, Dacelo novaeguineae",62,2.25806451612903,NA,NA,0,1,1,1,"Legge & Cockburn (2000)"
"House martin, Delichon urbicum",19,3.26315789473684,NA,NA,0.315789473684211,1.68421052631579,1,3,"Riley et al. 1995"
