"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","Reference"
"Cooper's hawk, Accipiter cooperii",44,3.18181818181818,1,6,0.340909090909091,1.34090909090909,1,2,"Rosenfield et al. 2015"
"Great reed warbler, Acrocephalus arundinaceus",272,2.49819655521783,2,6,0.0661764705882353,1.06617647058824,1,2,"Hansson et al 2004"
"Black-browed reed-warbler, Acrocephalus bistrigiceps",37,3.78378378378378,3,6,0.135135135135135,1.13513513513514,1,2,"Hamao & Saito 2005"
"Sedge warbler, Acrocephalus schoenobaenus",85,4.74117647058824,NA,NA,0.188235294117647,1.20168067226891,1,3,"Marshall et al 2007"
"Eurasian reed-warbler, Acrocephalus scirpaceus",52,3.57692307692308,NA,NA,0.153846153846154,1.15384615384615,1,2,"Davies et al 2003"
"Long-tailed tit, Aegithalos caudatus",48,7.75,NA,NA,0.125,1.125,1,2,"Hatchwell et al 2002"
"Boreal owl, Aegolius funereus",32,3.40625,NA,NA,0,1,1,1,"Koopman et al 2007"
"Yellow-shouldered blackbird, Agelaius xanthomus",30,2.9,NA,NA,0.366666666666667,1.5,1,3,"Liu et al 2015"
"Seaside sparrow, Ammodramus maritimus",18,2.61111111111111,NA,NA,0.166666666666667,1.16666666666667,1,2,"Hill and Post 2005"
"Mallard, Anas platyrhynchos",25,9.96153846153846,NA,NA,0.48,1.6,1,3,"Kreisinger et al 2010"
"Cape pendulin tit, Anthoscopus minutus",13,3.23076923076923,NA,NA,0.153846153846154,1.15384615384615,1,2,"Ball et al. 2017"
"Mexican jay, Aphelocoma ultramarina",51,2.72549019607843,NA,NA,0.627450980392157,1.76470588235294,1,3,"Li & Brown (2000)"
"Eastern imperial eagle, Aquila heliaca",86,1.93023255813953,NA,NA,0,1,1,1,"Rudnick et al 2005"
"Ridgway's hawk, Buteo ridgwayi",41,1.8695652173913,1,2,0,1,1,1,"Woolaver et al 2013"
