"","species","avgbrood","avgsire","pmult","mean.q","sd.q","q2.5","q97.5","mean.nsires","sd.nsires","nsires2.5","nsires97.5","mean.nmates","sd.nmates","nmates2.5","nmates97.5","mean.estM","sd.estM","estM2.5","estM97.5","mean.est.pmult","sd.est.pmult","est.pmult2.5","est.pmult97.5","mean.avgR","sd.avgR","avgR2.5","avgR97.5","mean.avgM","sd.avgM","avgM2.5","avgM97.5","pred_pmult","pred_pmult_lcl","pred_pmult_ucl","resid_pmult","resid_pmult_lcl","resid_pmult_ucl"
"1","Cooper's hawk, Accipiter cooperii",3.18181818181818,1.34090909090909,0.340909090909091,0.465866009586943,0.0131062485277483,0.440244293597477,0.491071221569211,1.53636363636364,0.779595236754681,1,3.02499999944121,4.5194875,2.67928281715246,2,11,3.30048461999125,1.67801621483414,2.04821338800321,7.19479749698828,0.721187732448206,0.00229543531005076,0.718459250098624,0.726802387535117,1.71579002981556,0.0271826024315486,1.66328626353325,1.76870003627578,2.88060048194502,0.0813129544242197,2.73057966367303,3.04582957925242,0.72250063012766,0.716175257086939,0.7317965035467,0.381591539218569,0.375266166177848,0.390887412637609
"2","Sedge warbler, Acrocephalus schoenobaenus",4.74117647058824,1.20168067226891,0.188235294117647,0.323736617876469,0.00717970977608152,0.309814367502633,0.3378634295522,1.59294117647059,0.813964671377204,1,4,6.00258035294117,4.02258869805095,2,16,4.92290457914501,2.5185018449414,2.97692392781358,12.0865102168391,0.764674959621773,0.000445413074169859,0.764351509831153,0.765914581459978,1.81981748570022,0.023369514365969,1.7748485572207,1.86612401302183,3.71373367175427,0.0823499380405957,3.55670536429366,3.87871189448339,0.779428079154169,0.773841451127774,0.787693279962117,0.591192785036522,0.585606157010127,0.59945798584447
"3","Eurasian reed-warbler, Acrocephalus scirpaceus",3.57692307692308,1.15384615384615,0.153846153846154,0.412573066456356,0.0113313931944872,0.39060049366928,0.434806340068394,1.49423076923077,0.741597479593347,1,3,4.78155019230769,2.94776721347738,2,12,3.62447348873662,1.80229574730939,2.3125257394681,7.5520095675705,0.735436450030545,0.00109787518100493,0.734542263699104,0.738466181839637,1.73459132328762,0.0266649210327604,1.68343972894393,1.78747190422626,2.79882122682363,0.0770293765200035,2.6537013091772,2.95403147993756,0.740356843582077,0.735338815400824,0.747850242077749,0.586510689735923,0.58149266155467,0.594004088231595
"4","Long-tailed tit, Aegithalos caudatus",7.75,1.125,0.125,0.215093682610191,0.00680570896353323,0.202015684736016,0.228569267732847,1.63125,0.856021956588249,1,4,8.515705,6.45075902682794,2,26,7.59151291427303,3.99301991831148,4.40901197366777,18.5577798158971,0.797347846430398,0.000850748213383217,0.796687584935339,0.799748547684121,1.96844795788527,0.0383801582128799,1.89534012885175,2.04510710929408,5.2355261477745,0.166015531713918,4.92192153029191,5.56887452392063,0.805500052945562,0.801493056647878,0.813285812486826,0.680500052945562,0.676493056647878,0.688285812486826
"5","Boreal owl, Aegolius funereus",3.40625,1,0,0.39221497902247,0.0143786402334364,0.36474534253451,0.420309928046352,1.403125,0.624992285106224,1,3,4.698825,2.86626225452348,2,12,3.58225425972875,1.60212392092045,2.39412190039424,7.77446328091741,0.731914987544415,0.00356941479733046,0.72814544410143,0.741010262883564,1.63632257021551,0.030392174383221,1.57907584843349,1.69649286483132,2.55305426083118,0.0937543442623511,2.37919671516349,2.74163884602692,0.733116679494778,0.727620476846459,0.741235494183713,0.733116679494778,0.727620476846459,0.741235494183713
"6","Seaside sparrow, Ammodramus maritimus",2.61111111111111,1.16666666666667,0.166666666666667,0.500007952405162,0.021514451771975,0.458326971164237,0.542357027029619,1.46666666666667,0.72571823682433,1,3,4.15585444444445,2.39527922789192,2,10,2.93874784740781,1.46102113727271,1.85744964788668,6.32676642106146,0.68632084327104,0.00294058819480462,0.684286748240308,0.694639741046836,1.56153848490788,0.0328649874914223,1.49915961015767,1.62757029061071,2.33764033316531,0.101159985404193,2.15110454717327,2.5454898823459,0.68895453514293,0.67976413612305,0.703420736716208,0.522287868476263,0.513097469456383,0.536754070049541
"7","Cape pendulin tit, Anthoscopus minutus",3.23076923076923,1.15384615384615,0.153846153846154,0.444222131808262,0.0238140072911569,0.398808922924135,0.491366242939249,1.5,0.682191302621967,1,3,4.57948384615385,2.64640307661754,2,11,3.38644547379074,1.55313804732323,2.06008680507309,7.14186712427833,0.722965454529895,0.00317067109691376,0.720686714142945,0.731901556052521,1.68903643019447,0.0493645042334556,1.59702936232267,1.78888429568881,2.6049580567621,0.140434153378521,2.34824058531801,2.89323053615071,0.724979923429227,0.718853131507087,0.733971476065058,0.571133769583073,0.565006977660933,0.580125322218904
"8","Mexican jay, Aphelocoma ultramarina",2.72549019607843,1.76470588235294,0.627450980392157,0.558534236201431,0.0128705996597506,0.533218476957941,0.583804107534125,1.58823529411765,0.789054378236678,1,3,4.16963764705882,2.28742216765357,2,10,2.84509103435493,1.41537950428064,1.72284838831212,5.66101076203479,0.704921563506726,0.00457727236828909,0.697079514399792,0.714965377189428,1.70618749787246,0.022948288097278,1.66158444798292,1.75180409763507,3.16121226039437,0.073034189641633,3.0227705827691,3.3095362569223,0.698005718656418,0.689354843759672,0.711159369665441,0.0705547382642615,0.0619038633675149,0.0837083892732844
"9","Eastern imperial eagle, Aquila heliaca",1.93023255813953,1,0,0.596741017900923,0.0111760879519221,0.574905983250579,0.618297786278554,1.31744186046512,0.564799206955651,1,3,3.40459209302326,1.7290069080836,2,8,2.20850380369073,0.94787839976646,1.62084353629111,5.01952978644192,0.611400539773319,0.00272556880397243,0.607446553584104,0.617758662494427,1.39331733174949,0.0104728998297838,1.37308479424001,1.41375376703007,1.6763576974175,0.0314558183677394,1.61734365251629,1.73941484196637,0.624263603761855,0.607461161333476,0.648842288152067,0.624263603761855,0.607461161333476,0.648842288152067
"10","Ridgway's hawk, Buteo ridgwayi",1.8695652173913,1,0,0.589840745202411,0.0163246556683687,0.557919156268896,0.621951137051276,1.31219512195122,0.608955646334202,1,3,3.41412902439024,1.81923440271972,2,8,2.22636781740088,1.03544015191191,1.61295397362578,5.11348370739732,0.607511751231264,0.00636231301812038,0.597969988122537,0.62237573012495,1.35984732152063,0.0140657955977312,1.33280698734392,1.3879859984965,1.6966743589858,0.0470658879326747,1.60784335045249,1.79237437711178,0.618088079321182,0.600163041984213,0.643796420207466,0.618088079321182,0.600163041984213,0.643796420207466
