"","species","avgbrood","avgsire","pmult","mean.q","sd.q","q2.5","q97.5","mean.nsires","sd.nsires","nsires2.5","nsires97.5","mean.nmates","sd.nmates","nmates2.5","nmates97.5","mean.estM","sd.estM","estM2.5","estM97.5","mean.est.pmult","sd.est.pmult","est.pmult2.5","est.pmult97.5","mean.avgR","sd.avgR","avgR2.5","avgR97.5","mean.avgM","sd.avgM","avgM2.5","avgM97.5","pred_pmult","pred_pmult_lcl","pred_pmult_ucl","resid_pmult","resid_pmult_lcl","resid_pmult_ucl"
"1","Great reed warbler, Acrocephalus arundinaceus",2.49819655521783,1.06617647058824,0.0661764705882353,0.504611999077819,0.00578434258332888,0.493098310404077,0.515947057990417,1.38125,0.620022470075116,1,3,3.92157080882353,2.16670042362649,2,9,2.73761142656651,1.22935462562699,1.94157779297776,5.97209335514086,0.467879855687588,0.00645472711428813,0.455066733067961,0.480562490202294,1.52426322485209,0.00817466957552384,1.5080840941705,1.54037241775416,2.11314163881898,0.024235875428965,2.06644548907977,2.16219858826089,0.46896533143563,0.394431235553934,0.53357895019104,0.402788860847395,0.328254764965699,0.467402479602804
"2","Black-browed reed-warbler, Acrocephalus bistrigiceps",3.78378378378378,1.13513513513514,0.135135135135135,0.398386193063792,0.0129853459050387,0.372903321951172,0.423779782837535,1.57027027027027,0.761706886578686,1,3,5.11140027027027,3.13169670499676,2,13,3.94578096955227,1.91939007576171,2.37890174154407,7.89402451149495,0.570823684791553,0.0177918860471142,0.535672492058698,0.605368899780484,1.7658366191462,0.032853796257481,1.70216378031567,1.83088548846884,2.85237178521852,0.0933244036942906,2.67859671728334,3.04404672352076,0.582283761039282,0.540107775537979,0.625355840572364,0.447148625904147,0.404972640402844,0.490220705437229
"3","Yellow-shouldered blackbird, Agelaius xanthomus",2.9,1.5,0.366666666666667,0.510352477103987,0.0163507175464249,0.478418031164167,0.54202983439426,1.59666666666667,0.860613619716083,1,4,4.41147933333333,2.6144203379151,2,11,3.13177588005323,1.69191077136247,1.85658620635133,7.80816997687122,0.563909134691842,0.0197803436176852,0.525282825309872,0.602228549846175,1.69387638599978,0.0306105757855677,1.63501620899491,1.75405397664392,2.94216940714812,0.0945050939000494,2.76737534508212,3.13533333258865,0.515829297863079,0.453431408354347,0.572177300775654,0.149162631196412,0.0867647416876797,0.205510634108987
"4","Mallard, Anas platyrhynchos",9.96153846153846,1.6,0.48,0.186592455464891,0.00779098682963427,0.171672233779311,0.202138932661365,1.888,1.01363524553094,1,4,10.969692,8.40156823811338,2,33,10.1359614011215,5.46301912532364,5.02465190988481,22.3632993657966,0.664798975343669,0.0194106203959161,0.626581957676851,0.702498581815049,2.131554121549,0.0592294377006726,2.01943209245269,2.25097955132847,8.58979779756062,0.358960490830693,7.9153480180033,9.32008610325577,0.725934397458069,0.691896380065745,0.758909853514947,0.245934397458069,0.211896380065745,0.278909853514947
"5","Sanderling, Calidris alba",3.56,1.04166666666667,0.0416666666666667,0.392873023476375,0.0118105078281339,0.370054934167743,0.41696864024886,1.41666666666667,0.659334750175784,1,3,4.729511875,2.92437312329073,2,12,3.60917351199026,1.68401317355731,2.4129167347924,7.79612210557399,0.530695632323336,0.0158742172715502,0.499910186655858,0.562955598583178,1.68374276796449,0.0268818708001167,1.63242467605412,1.73921895092269,2.65380405293402,0.0797830096597561,2.49818947074026,2.81489738588539,0.566420792730667,0.523574758617962,0.609599544929932,0.524754126064,0.481908091951296,0.567932878263265
"6","Greater sage-grouse, Centrocercus urophasianus",6.31413612565445,1.07368421052632,0.0736842105263158,0.243905541623449,0.00264062428487465,0.238776279197067,0.249061724833023,1.65248756218905,0.843400661311077,1,4,7.74124310945273,5.59799329756573,2,22,6.77590718965926,3.45928546049672,4.02734512307924,16.344612724304,0.610675539800278,0.0316412844843544,0.57103510875016,0.650382044753692,1.94246618421769,0.0854237976402094,1.83910131932636,2.04978530794556,4.66153983292658,0.263871081388339,4.32613120468241,5.00817179152263,0.651068485184771,0.597694411620702,0.702765703580778,0.577384274658455,0.524010201094386,0.629081493054462
"7","Greater sage-grouse, Centrocercus urophasianus",7.2,1.2,0.2,0.243905541623449,0.00264062428487465,0.238776279197067,0.249061724833023,1.65248756218905,0.843400661311077,1,4,7.74124310945273,5.59799329756573,2,22,6.77590718965926,3.45928546049672,4.02734512307924,16.344612724304,0.610675539800278,0.0316412844843544,0.57103510875016,0.650382044753692,1.94246618421769,0.0854237976402094,1.83910131932636,2.04978530794556,4.66153983292658,0.263871081388339,4.32613120468241,5.00817179152263,0.660227866578218,0.611233965037174,0.707405642563715,0.460227866578218,0.411233965037174,0.507405642563715
"8","Black coucal, Centropus grillii",3.62857142857143,1.4,0.371428571428571,0.441817889912076,0.0135465687655781,0.415359754904056,0.468442750346223,1.65142857142857,0.844265288355456,1,4,4.97594714285714,2.98375789007431,2,13,3.74132708239696,1.91704884403867,2.15207139390217,8.89797638668042,0.606222170867392,0.0177878230040483,0.571224291871626,0.64091217157429,1.82320844485496,0.0338922130938579,1.75784207494928,1.89065371831866,3.17171327054414,0.0975192321784404,2.98862560923064,3.37057210603631,0.571466511906193,0.528999241134732,0.614483645603877,0.200037940477622,0.157570669706161,0.243055074175306
"9","Kentish plover, Charadrius alexandrinus",1.58333333333333,1,0,0.553372353342095,0.00324173292986758,0.54709483437803,0.559705990538504,1.31630769230769,0.573116277616392,1,3,3.55532455384615,1.88007168691624,2,8,2.37878321261335,1.03582633741827,1.7881464854141,5.42117518656097,0.403658530169127,0.104861661647676,0.238052771273144,0.533034301265798,1.42460643960291,0.143249269742155,1.21339540136537,1.61102907755933,1.82775392277569,0.0309583606302848,1.78913596586549,1.89421898187975,0.29892165228133,0.215113271637192,0.369384799017232,0.29892165228133,0.215113271637192,0.369384799017232
"10","Kentish plover, Charadrius alexandrinus",2.03571428571429,1,0,0.553372353342095,0.00324173292986758,0.54709483437803,0.559705990538504,1.31630769230769,0.573116277616392,1,3,3.55532455384615,1.88007168691624,2,8,2.37878321261335,1.03582633741827,1.7881464854141,5.42117518656097,0.403658530169127,0.104861661647676,0.238052771273144,0.533034301265798,1.42460643960291,0.143249269742155,1.21339540136537,1.61102907755933,1.82775392277569,0.0309583606302848,1.78913596586549,1.89421898187975,0.392996127510437,0.311648748429149,0.462070686293162,0.392996127510437,0.311648748429149,0.462070686293162
