"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","Reference"
"Great reed warbler, Acrocephalus arundinaceus",272,2.49819655521783,2,6,0.0661764705882353,1.06617647058824,1,2,"Hansson et al 2004"
"Black-browed reed-warbler, Acrocephalus bistrigiceps",37,3.78378378378378,3,6,0.135135135135135,1.13513513513514,1,2,"Hamao & Saito 2005"
"Yellow-shouldered blackbird, Agelaius xanthomus",30,2.9,NA,NA,0.366666666666667,1.5,1,3,"Liu et al 2015"
"Mallard, Anas platyrhynchos",25,9.96153846153846,NA,NA,0.48,1.6,1,3,"Kreisinger et al 2010"
"Sanderling, Calidris alba",48,3.56,NA,NA,0.0416666666666667,1.04166666666667,1,2,"Reneerkens et al 2014"
"Greater sage-grouse, Centrocercus urophasianus",191,6.31413612565445,NA,NA,0.0736842105263158,1.07368421052632,1,2,"Bird et al 2012"
"Greater sage-grouse, Centrocercus urophasianus",10,7.2,NA,NA,0.2,1.2,1,2,"Semple et al (2001)"
"Black coucal, Centropus grillii",35,3.62857142857143,2,5,0.371428571428571,1.4,1,3,"Muck et al 2009"
"Kentish plover, Charadrius alexandrinus",12,1.58333333333333,NA,NA,0,1,1,1,"Maher et al 2017"
"Kentish plover, Charadrius alexandrinus",28,2.03571428571429,NA,NA,0,1,1,1,"Maher et al 2017"
"Kentish plover, Charadrius alexandrinus",19,2.42105263157895,NA,NA,0,1,1,1,"Maher et al 2017"
"Kentish plover, Charadrius alexandrinus",63,1.9047619047619,NA,NA,0.0158730158730159,1.01587301587302,1,2,"Maher et al 2017"
"Kentish plover, Charadrius alexandrinus",73,2.52054794520548,NA,NA,0.0410958904109589,1.04109589041096,1,2,"Maher et al 2017"
"Snowy plover, Charadrius nivosus",93,2.16129032258065,NA,NA,0,1,1,1,"Maher et al 2017"
"Kittlitz's plover, Charadrius pecuarius",15,1.2,NA,NA,0,1,1,1,"Maher et al 2017"
"White-throated dipper, Cinclus cinclus",40,4.625,NA,NA,0.05,1.05,1,2,"Oigarden et al 2010"
"Campo Flicker, Colaptes campestris",33,2.72727272727273,NA,NA,0.0303030303030303,1.03030303030303,1,2,"Igor et al 2013"
"Northern bobwhite, Colinus virginianus",34,11.0588235294118,NA,NA,0.852941176470588,2.29,1,4,"Davis et al 2017"
"Pied flycatcher, Ficedula hypoleuca",296,5.91554054054054,3,8,0.189189189189189,1.21959459459459,1,4,"Grinkov et al. 2018"
"Pied flycatcher, Ficedula hypoleuca",59,4.54237288135593,NA,NA,0.288135593220339,1.43220338983051,1,3,"Moreno et al 2013"
"Comb-crested jacana, Irediparra gallinacea",10,3.5,NA,NA,0.1,1.1,1,2,"Haig et al 2003"
"Kalij pheasant, Lophura leucomelanos",13,6.07692307692308,NA,NA,0.538461538461538,1.76923076923077,1,3,"Zeng et al 2016"
"Lovely fairy-wren, Malurus amabilis",29,2,1,3,0.275862069,1.379310345,1,3,"Leitão et al. (2021)"
"Subdesert mesite, Monias benschi",11,1.54545454545455,1,2,0.181818181818182,1.18181818181818,1,1,"Seddon et al 2005"
"Red phalarope, Phalaropus fulicarius",18,3.88888888888889,NA,NA,0.333333333333333,1.33333333333333,1,2,"Dale et al. (1999)"
"Dickcissel, Spiza americana",92,2.3695652173913,NA,NA,0.282608695652174,1.32608695652174,1,3,"Sousa & Westneat 2013"
"Apostlebird, Struthidea cinerea",15,2.73333333333333,NA,NA,0,1,1,1,"Woxvold & Mulder 2008"
"Apostlebird, Struthidea cinerea",78,2.30232558139535,NA,NA,0.0428571428571429,1.04285714285714,1,2,"Warrington et al 2013"
"Ostrich, Struthio camelus",4,6.75,NA,NA,1,2.5,2,3,"Kimwele & Graves 2003"
"Black grouse, Tetrao tetrix",130,7.08333333333333,NA,NA,0.0208333333333333,1.04166666666667,1,3,"Lebigre et al 2007"
"Prairie chicken, Tympanuchus cupido",25,8.5,NA,NA,0.44,1.64,1,4,"Hess et al 2012"
