FileNo,BirdMamm,SpNo,SglMtp,Species,Bmass,logBm,NoBroods,MeanBS,MeanSires,MP,mean.q,sd.q,q2.5,q97.5,mean.nsires,sd.nsires,nsires2.5,nsires97.5,mean.nmates,sd.nmates,nmates2.5,nmates97.5,mean.estM,sd.estM,estM2.5,estM97.5,mean.est.pmult,sd.est.pmult,est.pmult2.5,est.pmult97.5,mean.avgR,sd.avgR,avgR2.5,avgR97.5,mean.avgM,sd.avgM,avgM2.5,avgM97.5,pred_pmult,pred_pmult_lcl,pred_pmult_ucl,resid_pmult,resid_pmult_lcl,resid_pmult_ucl
1,1,1,b,"acadian flycatcher, Empidonax virescens",,,12,2.4167,1.25,0.25,0.599072775,0.008401025,0.582550457,0.61551953,1.594615385,0.827118435,1,4,4.021439692,2.219342996,2,10,2.662329601,1.381577305,1.630333834,6.599858955,0.684784833,0.007434506,0.673788546,0.697227848,1.649298579,0.026334377,1.605728519,1.694325305,3.143916991,1.057999408,2.040067007,4.299500504,0.676886844,0.666938315,0.692504254,0.426886844,0.416938315,0.442504254
2,1,1,b,"acadian flycatcher, Empidonax virescens",,,53,2.5094,2.5161,0.58490566,0.599072775,0.008401025,0.582550457,0.61551953,1.594615385,0.827118435,1,4,4.021439692,2.219342996,2,10,2.662329601,1.381577305,1.630333834,6.599858955,0.684784833,0.007434506,0.673788546,0.697227848,1.649298579,0.026334377,1.605728519,1.694325305,3.143916991,1.057999408,2.040067007,4.299500504,0.683975371,0.67445158,0.698772611,0.099069711,0.08954592,0.113866951
3,1,2,a,"American golden plover, Pluvialis dominica",,,31,3.4516,1.1613,0.161290323,0.407104472,0.01466334,0.378478437,0.436036054,1.464516129,0.669881362,1,3,4.747061613,2.85943249,2,12,3.602077248,1.65382126,2.309019632,7.563423575,0.730980908,0.0015336,0.729907373,0.735379039,1.682327161,0.032307141,1.620157478,1.746963214,2.856272707,0.103192095,2.663289682,3.068313039,0.734415259,0.72658708,0.745602535,0.573124936,0.565296758,0.584312212
4,1,3,b,"apostlebird, Struthidea cinerea",,,15,2.3023,1.0429,0.042857143,0.505353512,0.007016095,0.491535578,0.519048281,1.372043011,0.623270198,1,3,3.895341398,2.167447945,2,9,2.715539962,1.234268781,1.930606688,5.972925502,0.680256884,0.01355248,0.66271131,0.694769646,1.533948952,0.084211389,1.436593636,1.636998805,2.021605797,0.050873525,1.934477362,2.11156547,0.666523641,0.655448089,0.683823932,0.623666498,0.612590946,0.640966789
5,1,3,b,"apostlebird, Struthidea cinerea",,,78,2.7333,1,0,0.505353512,0.007016095,0.491535578,0.519048281,1.372043011,0.623270198,1,3,3.895341398,2.167447945,2,9,2.715539962,1.234268781,1.930606688,5.972925502,0.680256884,0.01355248,0.66271131,0.694769646,1.533948952,0.084211389,1.436593636,1.636998805,2.021605797,0.050873525,1.934477362,2.11156547,0.699082472,0.690240867,0.712435375,0.699082472,0.690240867,0.712435375
6,1,4,a,"banded wren, Thryothorus pleurostictus",,,50,3.12,1.1,0.1,0.436013789,0.012080972,0.412152781,0.459282467,1.44,0.662117881,1,3,4.4693264,2.626561499,2,11,3.305192264,1.523103884,2.187357853,7.011522479,0.716519387,0.001392973,0.715464669,0.72037762,1.63421186,0.023301405,1.588712994,1.679608287,2.524799646,0.070211271,2.395040261,2.668913204,0.719382502,0.711359569,0.731847012,0.619382502,0.611359569,0.631847012
7,1,5,a,"barn owl, Tyto alba",,,95,4.7895,1.0211,0.021052632,0.314699372,0.00678808,0.301535301,0.328185928,1.522105263,0.756053358,1,4,5.901212316,3.986898707,2,16,4.838948625,2.40641026,3.061536514,12.11069555,0.765547657,0.00044557,0.765234108,0.766800988,1.802311085,0.022144429,1.759670721,1.84662233,3.246044375,0.070088169,3.111201748,3.386179428,0.776321568,0.768317624,0.78700706,0.755268936,0.747264992,0.765954429
8,1,6,a,"black coucal, Centropus grillii",,,35,3.6286,1.4,0.371428571,0.44336337,0.013759343,0.416612865,0.471040074,1.64,0.822261807,1,4,4.939016857,2.927869985,2,12,3.702563227,1.860841609,2.142046867,8.867739616,0.744376821,0.00428457,0.737723369,0.75434263,1.82708783,0.034511494,1.760873924,1.897383135,3.160724706,0.098192097,2.972146274,3.360433915,0.741627951,0.733859387,0.752335402,0.370199379,0.362430816,0.38090683
9,1,7,a,"black grouse, Tetrao tetrix",,,130,7.0833,1.0417,0.020833333,0.24286934,0.003166765,0.236561601,0.249125631,1.593617021,0.805188223,1,4,7.532409078,5.476605539,2,22,6.562739008,3.317265582,4.028105177,16.27574313,0.789782504,0.004393981,0.783908355,0.795427964,1.897195001,0.102805274,1.774044423,2.026091385,4.203935229,0.101835344,4.030998451,4.383793248,0.806472161,0.796267571,0.821088479,0.785638828,0.775434238,0.800255146
10,1,8,a,"black guillemot, Cepphus grylle",,,32,1.4375,1,0,0.663538686,0.019436321,0.62529425,0.701141281,1.20625,0.462288875,1,2,2.964235938,1.374183379,2,7,1.819470929,0.699654355,1.429818954,3.182116389,0.516748497,0.014549065,0.492594394,0.548809951,1.205871692,0.008879488,1.188783468,1.223450914,1.508369682,0.044373182,1.426246075,1.599247075,0.546519449,0.512005869,0.593461724,0.546519449,0.512005869,0.593461724
