FileNo,LineNo,species,animal,OldName,NewName,Bmass,logBm,NoLitters,MeanLS,MeanSires,MP,PMP,resPMP,MeanQ,MeanM,mev,weights,mesd,rand
1,47,Apodemus_agrarius,Apodemus_agrarius,Apodemus_agrarius,a,21.11,1.324,44,6.5,1.8,0.636,0.817488575,0.181488575,0.305194934,7.674619091,0.024390244,41,0.156173762,0.104861542
2,62,Apodemus_flavicollis,Apodemus_flavicollis,Apodemus_flavicollis,a,31.6,1.5,35,5,1.5,0.514,0.793941029,0.279941029,0.455534284,6.069293429,0.03125,32,0.176776695,0.371639655
3,60,Apodemus_sylvaticus,Apodemus_sylvaticus,Apodemus_sylvaticus,a,21.9,1.34,28,4.7,1.7,0.643,0.788452716,0.145452716,0.405721104,6.180691429,0.04,25,0.2,0.108184686
4,52,Apodemus_uralensis,Apodemus_uralensis,Apodemus_uralensis,a,18.26,1.262,46,5,1.4,0.435,0.793941029,0.358941029,0.35472292,6.181544348,0.023255814,43,0.15249857,0.230044002
5,32,Mastomys_natalensis,Mastomys_natalensis,Mastomys_natalensis,a,41.85,1.622,36,9.9,1.9,0.67,0.829533411,0.159533411,0.226754742,10.56247333,0.03030303,33,0.174077656,0.297797021
6,29,Mus_musculus,Mus_musculus1,Mus_musculus1,a,19.3,1.286,146,4.1,1.4,0.336,0.775814265,0.439814265,0.343339926,5.983405692,0.006993007,143,0.083624201,0.23407314
7,28,Mus_musculus,Mus_musculus2,Mus_musculus2,a,19.3,1.286,143,5.6,1.2,0.203,0.802835535,0.599835535,0.343339926,5.983405692,0.007142857,140,0.084515425,0.82560803
8,13,Peromyscus_crinitus,Peromyscus_crinitus,Peromyscus_crinitus,a,17,1.23,10,3.8,1.2,0.2,0.765467153,0.565467153,0.388680945,4.894977,0.142857143,7,0.377964473,0.182771875
9,9,Neotoma_macrotis,Neotoma_macrotis,Neotoma_fuscipes,Neotoma_macrotis,225.74,2.354,25,2.2,1.2,0.2,0.648686292,0.448686292,0.563553092,3.666068,0.045454545,22,0.213200716,0.027139425
10,39,Myodes_rufocanus,Myodes_rufocanus,Clethrionomys_rufocanus,Myodes_rufocanus,38.5,1.585,215,4.3,1.2,0.233,0.780916169,0.548916169,0.356675608,5.470781349,0.004716981,212,0.068680282,0.765754945
11,10,Lasiopodomys_brandtii,Lasiopodomys_brandtii,Lasiopodomys_brandtii,a,40,1.602,27,7.1,1.5,0.458,0.824356694,0.366356694,0.263630308,8.249327407,0.041666667,24,0.204124145,0.313957826
12,51,Microtus_oeconomus,Microtus_oeconomus,Microtus_oeconomus,a,33.1,1.52,21,5.3,1.6,0.381,0.798326421,0.417326421,0.341690707,6.621538095,0.055555556,18,0.23570226,0.474327546
13,35,Microtus_ochrogaster,Microtus_ochrogaster,Microtus_ochrogaster,a,42.5,1.628,9,4.8,1.6,0.556,0.790368381,0.234368381,0.360464993,6.10607,0.166666667,6,0.40824829,0.842720574
14,33,Castor_canadensis,Castor_canadensis,Castor_canadensis,a,18124.41,4.258,9,3.7,1.6,0.556,0.761388351,0.205388351,0.48718976,4.824843333,0.166666667,6,0.40824829,0.900491484
15,11,Cavia_aperea,Cavia_aperea,Cavia_aperea,a,524.38,2.72,15,3.9,1.3,0.267,0.769231794,0.502231794,0.399479365,5.278906,0.083333333,12,0.288675135,0.171382275
16,43,Heliophobius_argenteocinereus,Heliophobius_argenteocinereus,Heliophobius_argenteocinereus,a,159.46,2.203,11,3.5,1.1,0.091,0.75295129,0.66195129,0.426992386,4.805089091,0.125,8,0.353553391,0.714700372
17,14,Bathyergus_suillus,Bathyergus_suillus,Bathyergus_suillus,a,777.38,2.891,19,2.7,1.3,0.263,0.701344734,0.438344734,0.553039862,3.989832105,0.0625,16,0.25,0.172991998
18,3,Marmota_marmota,Marmota_marmota,Marmota_marmota,a,4059.15,3.608,68,3.5,1.3,0.265,0.75295129,0.48795129,0.445837604,4.879405588,0.015384615,65,0.124034735,0.376536198
19,61,Marmota_monax,Marmota_monax,Marmota_monax,a,3880.93,3.589,26,3.5,1.8,0.631,0.75295129,0.12195129,0.533282443,5.024321923,0.043478261,23,0.208514414,0.344752014
20,16,Urocitellus_columbianus,Urocitellus_columbianus1,Spermophilus_columbianus1,Urocitellus_columbianus(ADW),576,2.76,147,3,1.8,0.578,0.725459346,0.147459346,0.551492206,4.484129347,0.006944444,144,0.083333333,0.493395024
