"FileNo","LineNo","species","animal","OldName","NewName","Bmass","logBm","NoLitters","MeanLS","MeanSires","MP","PMP","resPMP","MeanQ","MeanM","mev","weights","mesd","rand"
1,47,"Apodemus_agrarius","Apodemus_agrarius","Apodemus_agrarius","a",21.11,1.324,44,6.5,1.8,0.636,0.835947869637519,0.199947869637519,0.306187622811763,7.70294045454545,0.024390244,41,0.156173762,0.104861542
2,62,"Apodemus_flavicollis","Apodemus_flavicollis","Apodemus_flavicollis","a",31.6,1.5,35,5,1.5,0.514,0.800252542274204,0.286252542274204,0.358946720713792,6.31582371428571,0.03125,32,0.176776695,0.371639655
3,60,"Apodemus_sylvaticus","Apodemus_sylvaticus","Apodemus_sylvaticus","a",21.9,1.34,28,4.7,1.7,0.643,0.78929093921716,0.14629093921716,0.405922936606656,6.07287107142857,0.04,25,0.2,0.108184686
4,52,"Apodemus_uralensis","Apodemus_uralensis","Apodemus_uralensis","a",18.26,1.262,46,5,1.4,0.435,0.800252542274204,0.365252542274204,0.337240869242456,6.14535260869565,0.023255814,43,0.15249857,0.230044002
5,32,"Mastomys_natalensis","Mastomys_natalensis","Mastomys_natalensis","a",41.85,1.622,36,9.9,1.9,0.67,0.812717246292932,0.142717246292932,0.219404856315217,10.7938480555556,0.03030303,33,0.174077656,0.297797021
6,29,"Mus_musculus","Mus_musculus1","Mus_musculus1","a",19.3,1.286,146,4.1,1.4,0.336,0.768566127818094,0.432566127818094,0.343119306597097,5.98375790657439,0.006993007,143,0.083624201,0.23407314
7,28,"Mus_musculus","Mus_musculus2","Mus_musculus2","a",19.3,1.286,143,5.6,1.2,0.203,0.818161195675969,0.615161195675969,0.343119306597097,5.98375790657439,0.007142857,140,0.084515425,0.82560803
8,13,"Peromyscus_crinitus","Peromyscus_crinitus","Peromyscus_crinitus","a",17,1.23,10,3.8,1.2,0.2,0.759569011903025,0.559569011903025,0.379872761067066,5.174758,0.142857143,7,0.377964473,0.182771875
9,9,"Neotoma_macrotis","Neotoma_macrotis","Neotoma_fuscipes","Neotoma_macrotis",225.74,2.354,25,2.2,1.2,0.2,0.64922246431225,0.44922246431225,0.545697889876643,3.6901724,0.045454545,22,0.213200716,0.027139425
10,39,"Myodes_rufocanus","Myodes_rufocanus","Clethrionomys_rufocanus","Myodes_rufocanus",38.5,1.585,215,4.3,1.2,0.233,0.774040043491526,0.541040043491526,0.358417896088959,5.47225813953489,0.004716981,212,0.068680282,0.765754945
11,10,"Lasiopodomys_brandtii","Lasiopodomys_brandtii","Lasiopodomys_brandtii","a",40,1.602,27,7.1,1.5,0.458,0.841755030221203,0.383755030221203,0.260586561766562,8.28569185185185,0.041666667,24,0.204124145,0.313957826
12,51,"Microtus_oeconomus","Microtus_oeconomus","Microtus_oeconomus","a",33.1,1.52,21,5.3,1.6,0.381,0.809835533992632,0.428835533992632,0.344206418785476,6.32816523809524,0.055555556,18,0.23570226,0.474327546
13,35,"Microtus_ochrogaster","Microtus_ochrogaster","Microtus_ochrogaster","a",42.5,1.628,9,4.8,1.6,0.556,0.793083115135473,0.237083115135473,0.369416339547249,5.99627888888889,0.166666667,6,0.40824829,0.842720574
14,33,"Castor_canadensis","Castor_canadensis","Castor_canadensis","a",18124.41,4.258,9,3.7,1.6,0.556,0.755678966777741,0.199678966777741,0.412901417023734,5.34911666666667,0.166666667,6,0.40824829,0.900491484
15,11,"Cavia_aperea","Cavia_aperea","Cavia_aperea","a",524.38,2.72,15,3.9,1.3,0.267,0.763270372832974,0.496270372832974,0.42903313621201,5.134846,0.083333333,12,0.288675135,0.171382275
16,43,"Heliophobius_argenteocinereus","Heliophobius_argenteocinereus","Heliophobius_argenteocinereus","a",159.46,2.203,11,3.5,1.1,0.091,0.748365791108752,0.657365791108752,0.397451292866337,5.10581727272727,0.125,8,0.353553391,0.714700372
17,14,"Bathyergus_suillus","Bathyergus_suillus","Bathyergus_suillus","a",777.38,2.891,19,2.7,1.3,0.263,0.701517668248355,0.438517668248355,0.513945549513661,3.93967578947368,0.0625,16,0.25,0.172991998
18,3,"Marmota_marmota","Marmota_marmota","Marmota_marmota","a",4059.15,3.608,68,3.5,1.3,0.265,0.748365791108752,0.483365791108752,0.447866547601362,4.88194441176471,0.015384615,65,0.124034735,0.376536198
19,61,"Marmota_monax","Marmota_monax","Marmota_monax","a",3880.93,3.589,26,3.5,1.8,0.631,0.748365791108752,0.117365791108752,0.470962135436912,4.86125038461539,0.043478261,23,0.208514414,0.344752014
20,16,"Urocitellus_columbianus","Urocitellus_columbianus1","Spermophilus_columbianus1","Urocitellus_columbianus(ADW)",576,2.76,147,3,1.8,0.578,0.724644714036308,0.146644714036308,0.559271516005819,4.43957102272727,0.006944444,144,0.083333333,0.493395024
