species,nbrood,avgbrood,avgsire,pmult
Apodemus_agrarius,44,6.5,1.8,0.636
Apodemus_flavicollis,35,5,1.5,0.514
Apodemus_sylvaticus,28,4.7,1.7,0.643
Apodemus_uralensis,46,5,1.4,0.435
Mastomys_natalensis,36,9.9,1.9,0.67
Mus_musculus,146,4.1,1.4,0.336
Mus_musculus,143,5.6,1.2,0.203
Peromyscus_crinitus,10,3.8,1.2,0.2
Neotoma_macrotis,25,2.2,1.2,0.2
Myodes_rufocanus,215,4.3,1.2,0.233
Lasiopodomys_brandtii,27,7.1,1.5,0.458
Microtus_oeconomus,21,5.3,1.6,0.381
Microtus_ochrogaster,9,4.8,1.6,0.556
Castor_canadensis,9,3.7,1.6,0.556
Cavia_aperea,15,3.9,1.3,0.267
Heliophobius_argenteocinereus,11,3.5,1.1,0.091
Bathyergus_suillus,19,2.7,1.3,0.263
Marmota_marmota,68,3.5,1.3,0.265
Marmota_monax,26,3.5,1.8,0.631
Urocitellus_columbianus,147,3,1.8,0.578
Urocitellus_columbianus,29,2.8,1.9,0.724
Urocitellus_richardsonii,15,5.7,2.1,0.8
Xerospermophilus_tereticaudus,31,4.1,2.5,0.548
Tamias_striatus,43,2.8,2.5,0.86
Tamiasciurus_hudsonicus,44,3,2,0.727
Lepus_americanus,16,4,1.3,0.25
Microcebus_murinus,26,2,1.7,0.654
Tupaia_tana,9,2,1.3,0.333
Ovis_aries,80,2,1.7,0.738
Capreolus_capreolus,33,2.1,1.2,0.155
Odocoileus_virginianus,27,2.1,1.3,0.259
Odocoileus_virginianus,27,2,1.4,0.37
Antilocapra_americana,25,2,1.4,0.44
Sus_scrofa,30,4.5,1.1,0.1
Mustela_erminea,5,8.4,1.2,0.2
Neovison_vison,5,3.6,1.6,0.6
Gulo_gulo,43,2.1,1,0
Meles_meles,174,2,1.4,0.396
Procyon_lotor,8,4,1.9,0.875
Ursus_arctos,69,2,1.1,0.145
Ursus_americanus,5,2.4,1.2,0.2
Canis_simensis,12,4.7,1.3,0.333
Lycaon_pictus,6,4.2,1.2,0.167
Vulpes_vulpes,12,3.8,1.8,0.5
Vulpes_lagopus,8,5.4,1.1,0.125
Urocyon_cinereoargenteus,7,3.3,1.1,0.143
Felis_catus,92,3.8,1.8,0.554
Acinonyx_jubatus,23,3,1.5,0.435
Crocuta_crocuta,102,2,1.3,0.333
Hyaena_hyaena,4,2.5,1.5,0.5
Eptesicus_fuscus,26,2,1.5,0.462
Erinaceus_europaeus,5,5,1.4,0.4
Crocidura_russula,42,2.3,1,0
Crocidura_shantungensis,18,3,1.3,0.277
Tarsipes_rostratus,5,2.4,2,1
Antechinus_stuartii,39,4.4,2.8,0.923
Antechinus_agilis,47,7.7,2.8,0.978
Antechinus_minimus,10,6.1,2,0.8
Dasyurus_maculatus,6,5,1.8,0.667
Didelphis_virginiana,64,8.7,1.4,0.406
Lasiurus_borealis,31,3.1,1.9,0.71
Dasyurus_hallucatus,14,5.7,4.3,1
